,Title,Parsed_Ingredients,Ingredients,Instructions,Scores
75,The Easiest Blackened Chicken,chicken breast,"4 skinless, boneless chicken breast halves  , 1 cup Worcestershire sauce  , 2 teaspoons ground black pepper  ,  ","In a large skillet combine the Worcestershire sauce and ground black pepper. Add the chicken and simmer over medium heat until the sauce begins to boil. Reduce heat to low and let simmer for 15 to 20 minutes. Turn chicken occasionally, spooning sauce over it. The sauce will thicken. Let cool and serve.
",0.4186986046107173
76,Chicken Things,chicken breast,"4 skinless, boneless chicken breast halves - cut into cubes  , 1/2 cup Worcestershire sauce  , 3/4 cup honey  , 1/2 teaspoon salt  , 1/4 teaspoon pepper  ,  ","In an electric skillet, combine the chicken cubes, Worcestershire sauce, 1/2 cup of honey, salt and pepper. Let sit for a minute to mingle the flavors, then turn the heat to 400 degrees F (200 degrees C). If using a regular skillet, turn the heat to medium-high.
Cook chicken for 20 minutes, stirring occasionally to prevent sticking. Drain off juices, and then add the remaining honey. Continue cooking until the sauce becomes thick and sticks to the chicken.
",0.4186986046107173
77,Chicken Scarpariello,chicken breast allpurpose flour butter shallot garlic wine chicken,"1 1/4 pounds skinless, boneless chicken breast halves  , 3 tablespoons all-purpose flour  , 2 tablespoons olive oil  , 2 teaspoons butter  , 2 tablespoons shallots, minced  , 2 cloves garlic, minced  , 1 cup water  , 1/2 cup white wine  , 1 cube chicken bouillon  , 1/2 teaspoon dried rosemary, crushed  , 1/4 teaspoon salt  , 1 pinch ground black pepper  ,  ","Cut chicken breasts into 1 x 3 inch strips, and dredge in flour.
In 10 inch skillet, heat oil and butter. Add chicken. Cook, turning occasionally, until lightly browned on all sides (3 to 4 minutes). Using tongs, remove chicken from skillet. Set aside and keep warm.
To same skillet, add shallots and garlic. Saute until softened (1 minute). Add water, wine, broth mix, and seasonings. Mix well. Cook, stirring frequently, until liquid is reduced by 1/2 (3 to 4 minutes). Return chicken to skillet, and cook until sauce is thick and chicken is heated through (2 to 3 minutes).
",0.4194470969924131
78,Home-Style Chicken Piccata,allpurpose flour garlic egg butter chicken breast chicken broth lemon,"1/2 cup all-purpose flour  , 2 teaspoons garlic powder  , 1 teaspoon paprika  , 1 egg  , 1/4 cup butter  , 1 pound skinless, boneless chicken breast halves  , 1 cup chicken broth  , 1/2 lemon  ,  ","Whisk flour, garlic powder, and paprika together in a bowl. Beat egg in a separate bowl. Melt butter in a skillet over medium heat.
Dip chicken in egg until coated. Dredge chicken through flour mixture until evenly coated, shaking off excess.
Fry chicken in the melted butter until browned, 2 to 3 minutes per side. Add chicken broth to skillet, cover, and cook until chicken is not longer pink in the center, about 20 minutes. Squeeze lemon over chicken.
",0.4196324683652195
79,Lemon Chicken Simmer,chicken breast allpurpose flour onion egg butter chicken broth lemon,"2 skinless, boneless chicken breast halves  , 1 cup all-purpose flour  , 1 teaspoon onion powder  , 1/2 teaspoon ground paprika  , 1/2 teaspoon ground black pepper  , 1 egg, beaten  , 1 tablespoon unsalted butter  , 3/4 cup Swanson(r) Unsalted Chicken Broth, divided  , 2 tablespoons lemon juice  , 2 tablespoons cornstarch  , 1/4 teaspoon dried dill weed (optional)  ,  ","Cut chicken breasts from one side through the middle horizontally to within one-half inch of the other side. Open the two sides and spread them out like an open book.
Mix flour, onion powder, paprika, and black pepper together in a shallow dish. Place beaten egg in a separate shallow dish. Dip the chicken in the flour mixture and coat evenly; dip chicken in beaten egg.
Melt butter in a large skillet over medium heat. Place chicken in the pan; brown on each side, about 6 minutes total.
Pour 1/2 cup Swanson(R) Unsalted Chicken Broth and lemon juice into the skillet. Cover and simmer chicken until no longer pink in the center and the juices run clear, about 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove chicken and set aside; keep warm.
Whisk 2 tablespoons cornstarch and remaining 1/4 cup Swanson(R) Unsalted Chicken Broth together; add to the liquid in the pan. Increase heat to medium-high and stir frequently until sauce has thickened, about 5 minutes. Sprinkle chicken with dill. Serve sauce with chicken.
",0.4197391452168253
80,Quick Chicken Soup,chicken broth carrot onion garlic celery chicken breast,"2 (14.5 ounce) cans chicken broth  , 2 cups baby carrots  , 1 onion, chopped  , 1 clove garlic, minced  , 1/8 teaspoon celery salt  , 2 skinless, boneless chicken breast halves  , 1 tablespoon chopped fresh cilantro (optional)  ,  ","Bring the chicken broth to a boil in a medium saucepan over medium high heat. Add the carrots, onion, garlic and celery salt.
Reduce heat to low and add the chicken breast. Cover and simmer for 20 minutes.
Carefully remove the chicken breast, cut it into chunks and return it to the pot. Stir in the cilantro OR dill to taste.
",0.42256840289564757
81,Tater Crisp Chicken,chicken butter potato,"10 chicken legs  , 1 cup melted butter  , 2 cups dry potato flakes  ,  ","Preheat oven to 400 degrees F (200 degrees C).
Place melted butter or margarine in a shallow dish or bowl, then place potato flakes in a separate shallow dish or bowl. Roll chicken pieces in butter or margarine, then in potato flakes. Place coated chicken pieces in a 9x13 inch baking dish, skin side up.
Bake at 400 degrees F (200 degrees C) for 1 hour.
",0.4229120353579052
82,Chicken with 40 Cloves of Garlic,butter chicken garlic lemon,"2 tablespoons butter  , 1 tablespoon olive oil  , 1 whole chicken  , 40 cloves garlic  , 1/4 cup water  , 2 tablespoons lemon juice  , 1 teaspoon salt  , 1/2 teaspoon dried thyme  , 1/4 teaspoon ground black pepper  ,  ","Preheat an oven to 350 degrees F (175 degrees C).
Melt the butter with the olive oil in a large Dutch oven over medium-high heat. Add the chicken to the Dutch oven and brown on all sides in the butter and oil, 5 to 10 minutes. Remove the chicken to a cutting board.
Drain all but 2 tablespoons of liquid from the pan; stir the garlic cloves into the reserved liquid. Return the chicken to the pan; sprinkle the water, lemon juice, salt, thyme, and black pepper over the chicken; cover tightly.
Bake the chicken in the preheated oven until no longer pink at the bone and the juices run clear, about 90 minutes. An instant-read thermometer inserted into the thickest part of the thigh should read 180 degrees F (82 degrees C). Remove the chicken from the oven, cover with a doubled sheet of aluminum foil, and allow to rest in a warm area for 10 minutes before slicing.
",0.42322530691131455
83,Spicy Roasted Chicken Legs,butter lemon garlic chicken,"2 sticks butter, Juice of 2 to 3 lemons, 1/2 teaspoon salt, 1 teaspoon black pepper, 1 teaspoon cayenne pepper, 4 cloves garlic, minced, 24 whole chicken legs","Watch how to make this recipe.
Preheat the oven to 450 degrees F. Line baking sheets with foil.
Melt the butter in a saucepan. Add the lemon juice, salt, black pepper, cayenne and garlic, and stir. Set aside.
Rinse and pat the chicken legs dry. With metal tongs, dip them one by one into the butter mixture and place on the prepared baking sheets.
Once all of the chicken legs are coated and on the baking sheet, take a pastry brush and give them one last coating of the butter mixture.
Place them into the oven for 30 to 35 minutes, basting a couple of times during roasting. If they need a bit more color, turn on the broiler for a couple minutes and watch them closely.
Remove them when they are nice and golden brown and fully cooked.",0.42322530691131455
84,Easy Tasty Fried Chicken,chicken allpurpose vegetable,"2 pounds boneless chicken pieces  , 1 tablespoon seasoned salt  , 2 cups all-purpose baking mix (such as Bisquick(r))  , 2 cups water  , 1 quart vegetable oil for frying, or as needed  ,  ","Trim any fat from chicken breasts and cut each in half lengthwise. Place chicken pieces in a bowl and sprinkle with seasoned salt, turning chicken pieces to season all sides.
Place baking mix into a shallow bowl; pour water into a separate bowl. Gently press each seasoned chicken piece into the baking mix, dip quickly in water, and press chicken into baking mix again to coat thoroughly. Dip chicken once more quickly in water and coat a third time in baking mix. Tap off any loose baking mix.
Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).
Deep-fry the chicken pieces in batches in the hot oil until the coating is crisp and brown and the chicken is no longer pink inside, about 6 minutes per batch. An instant-read meat thermometer inserted into the thickest part of a breast should read at least 160 degrees F (70 degrees C).
",0.4235527101269386
85,White Chili IV,chicken breast onion garlic chile mushroom pinto bean onion wine chicken broth chicken,"1 tablespoon olive oil  , 4 skinless, boneless chicken breast halves - cubed  , coarsely ground black pepper to taste  , 1 large onion, chopped  , 6 cloves garlic, minced  , 3 green chile peppers, seeded and minced  , 1 green bell pepper, chopped  , 1 red bell pepper, chopped  , 1 (8 ounce) package mushrooms, sliced  , 3 (15 ounce) cans pinto beans  , 4 green onions, chopped  , 1 bunch fresh parsley, chopped  , 1 cup white wine  , 2 (14.5 ounce) cans chicken broth  , 2 cubes chicken bouillon  , 1 teaspoon dried rosemary  , 1 teaspoon dried thyme  , 1 tablespoon dried oregano  , 1 1/2 tablespoons ground cumin  , 2 bay leaves  ,  ","In a large pot over medium-high heat, cook chicken in olive oil with black pepper until brown. Stir in onion, garlic and chiles and cook until onion begins to soften.
Stir in bell peppers, mushrooms, beans, green onions and parsley. Pour in wine and chicken broth. Season with bouillon, rosemary, thyme, oregano and cumin. Place bay leaves in pot, cover, reduce heat and simmer 90 minutes.
",0.42490013073766797
86,Simple Chicken Gravy,allpurpose flour chicken dripping chicken,"1/2 cup all-purpose flour  , 1 cup water, or as needed  , 1 (3 pound) roasted chicken (drippings from chicken)  ,  ","Add water to the chicken drippings to make about 1 1/2 cups of liquid in the bottom of the roaster.
Whisk water into the flour until it is thick, but not pasty. Whisk the flour/water mixture into the drippings, and put the roaster on the stove over medium heat. Stir constantly until mixture is thickened and bubbly. Add salt and pepper to taste.
",0.42537286458635404
87,Dijon Chicken Breasts ,chicken broth onion garlic chicken breast well,"1/2 cup canned unsalted chicken broth, 1/2 small onion, finely chopped, 1/4 cup Dijon mustard, 4 garlic cloves, finely chopped, 1 teaspoon dried thyme, crumbled, 6 boneless skinless chicken breast halves, well trimmed","Combine first 5 ingredients in heavy large skillet. Bring to gentle simmer over medium-low heat. Add chicken and season with pepper. Cover and poach until chicken is just cooked through, about 20 minutes. Transfer chicken to platter. Boil liquid in skillet until reduced to sauce consistency, about 2 minutes. Pour sauce over chicken and serve.
Combine first 5 ingredients in heavy large skillet. Bring to gentle simmer over medium-low heat. Add chicken and season with pepper. Cover and poach until chicken is just cooked through, about 20 minutes. Transfer chicken to platter. Boil liquid in skillet until reduced to sauce consistency, about 2 minutes. Pour sauce over chicken and serve.",0.42700895802692085
88,Chicken Breasts with Balsamic Vinegar and Garlic,chicken breast mushroom allpurpose flour garlic chicken broth butter,"4 skinless, boneless chicken breasts  , salt and pepper to taste  , 3/4 pound fresh mushrooms, sliced  , 2 tablespoons all-purpose flour  , 2 tablespoons olive oil  , 6 cloves garlic  , 1/4 cup balsamic vinegar  , 3/4 cup chicken broth  , 1 bay leaf  , 1/4 teaspoon dried thyme  , 1 tablespoon butter  ,  ","Season the chicken with salt and pepper. Rinse the mushrooms and pat dry. Season the flour with salt and pepper and dredge the chicken breasts in the flour mixture. Heat oil in a skillet over medium high heat and saute the chicken until it is nicely browned on one side (about 3 minutes).
Add the garlic. Turn the chicken breasts and scatter the mushrooms over them. Continue frying, shaking the skillet and stirring the mushrooms. Cook for about 3 minutes, then add the vinegar, broth, bay leaf and thyme. Cover tightly and simmer over medium low heat for 10 minutes, turning occasionally.
Transfer the chicken to a warm serving platter and cover with foil. Set aside. Continue simmering the sauce, uncovered, over medium high heat for about 7 minutes. Swirl in the butter or margarine and discard the bay leaf. Pour this mushroom sauce mixture over the chicken and serve.
",0.4270312431900244
89,Dixie Stomp Cream of Vegetable Soup,onion carrot potato chicken rice soup asparagus chicken broth chicken garlic margarine cream,"1 onion, sliced  , 1 cup sliced carrots  , 1 potato - peeled and cubed  , 1 (10.5 ounce) can condensed chicken and rice soup  , 1 (15 ounce) can asparagus  , 2 (14.5 ounce) cans chicken broth  , 2 cubes chicken bouillon  , 1 bay leaf  , 1/4 teaspoon dried thyme  , 1/4 teaspoon ground black pepper  , 3 cloves garlic, minced  , 1 tablespoon margarine  , 3 cups heavy cream  ,  ","In a large saucepan over medium high heat, combine the carrots, onions, potato, soups, asparagus, broth, bouillon cubes, bay leaf, thyme, ground black pepper and margarine. Stir all together, bring to a boil, reduce heat to medium low and let simmer until all vegetables are tender.
Transfer to a blender or food processor in small batches and puree until smooth. (Note: This soup is meant to be totally smooth, so puree until there is no sign of visible vegetable pieces.)
Next, combine with the cream and mix all together until smooth and well blended. Return all to the saucepan and warm soup over medium low heat. (Note: Do not boil.)
",0.4274117923581534
90,Grandma's Chopped Liver,chicken liver egg onion chicken vegetable,"2 pounds chicken livers, rinsed and trimmed  , 2 eggs  , 3 onions  , 1 quart water  , 2 cubes chicken bouillon  , 2 tablespoons vegetable oil  , salt and pepper to taste  ,  ","Place the liver, whole eggs and one onion into a large saucepan with the water. Bring to a boil and stir in the chicken bouillon cubes. Simmer for one hour, then allow to cool.
Meanwhile, heat the oil in a large skillet over medium heat. Chop one onion and fry in the oil until tender. Chop the third onion and set aside. When the liver has cooled, grind together the liver, hard-cooked eggs and the three onions. Season with salt and pepper. Chill before serving.
",0.42743850684079754
91,Chicken Veloute ,chicken stock pan dripping chicken flour cream chicken base,"1 cup chicken stock, 2 tablespoons pan drippings (from frying chicken ), 2 tablespoons flour, 1 cup heavy cream, 1/2 teaspoon chicken base, 1/4 teaspoon black pepper","Pour stock into a saucepan, cover, and bring to a simmer. Heat pan drippings in the same skillet used to fry the chicken. Add flour to drippings and blend. Cook over medium heat, stirring constantly, for 1 to 2 minutes. Add stock to skillet; cook and stir until mixture thickens. Stir in cream, chicken base, and pepper. Simmer until desired consistency is reached. Strain into a serving bowl.
Pour stock into a saucepan, cover, and bring to a simmer. Heat pan drippings in the same skillet used to fry the chicken. Add flour to drippings and blend. Cook over medium heat, stirring constantly, for 1 to 2 minutes. Add stock to skillet; cook and stir until mixture thickens. Stir in cream, chicken base, and pepper. Simmer until desired consistency is reached. Strain into a serving bowl.",0.4308033049555453
92,Easy Rosemary Chicken,chicken breast cream chicken soup cream,"4 skinless, boneless chicken breasts  , 1 (10.75 ounce) can condensed cream of chicken soup  , 1 cup sour cream  , 1 tablespoon chopped fresh rosemary  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Combine the soup, sour cream and rosemary. Mix well.
Place chicken pieces in a 9x13 inch baking dish, in a single layer. Pour rosemary mixture over chicken and bake in the preheated oven for 30 to 40 minutes, or until chicken is cooked through and juices run clear. Let cool 10 minutes and serve.
",0.43238836350790266
93,Chunky Chicken Noodle Soup,chicken stock chicken chicken breast egg noodle pea carrot carrot celery onion,"3 quarts water  , 1 (32 fluid ounce) container chicken stock  , 8 cubes chicken bouillon  , 3 skinless, boneless chicken breast halves, cut into 1-inch pieces  , 4 cups egg noodles  , 1 cup frozen peas and carrots  , 2 carrots, chopped  , 2 stalks celery, chopped  , 1/4 cup onion, chopped  , 1 teaspoon salt  , 1 teaspoon ground black pepper  , 1/4 teaspoon dried basil  , 1/8 teaspoon crushed bay leaf  , 1/8 teaspoon dried oregano  ,  ","Bring water, chicken stock, and chicken bouillon to a boil in a large stock pot. Add chicken breast, egg noodles, peas and carrots, chopped carrots, celery, onion, salt, black pepper, basil, bay leaf, and oregano. Continue to boil, uncovered, for 20 minutes. Reduce heat to medium and simmer until chicken is no longer pink in the center and noodles are tender, 5 to 10 minutes more.
",0.4334890069186055
94,Tina's Best BBQ Lime Chicken,chicken lime garlic,"1 (4 pound) chicken, cut into pieces  , 2 teaspoons seasoning salt  , 2 teaspoons ground black pepper  , 1/2 teaspoon cayenne pepper  , 1 1/2 cups fresh lime juice  , 1 cup olive oil  , 8 cloves garlic, minced  , 1/2 cup chopped fresh cilantro  ,  ","Wash chicken parts. Pat dry thoroughly. Pierce all pieces with a fork. In a small bowl, combine the seasoning salt, ground black pepper and cayenne pepper. Rub all chicken parts with the spices, then place the chicken into a large, resealable plastic bag.
In a separate medium bowl, combine the lime juice, olive oil, garlic and cilantro. Mix well and pour into the bag with the chicken. Seal and let marinate in the refrigerator for at least 2 hours.
Preheat an outdoor grill for low heat and lightly oil grate.
Remove chicken from the refrigerator and pour marinade into a small saucepan over medium high heat. Bring to a boil for about 1 to 2 minutes.
Grill chicken for about 1 1/2 hours. Brush with the marinade every 15 minutes. Chicken is done when juices run clear.
",0.43359862008121786
95,Sour Cream Chicken Paprika,chicken breast vegetable onion butter chicken stock allpurpose flour cream,"4 skinless, boneless chicken breast halves  , 1 1/2 tablespoons vegetable oil  , 1 cup chopped onion  , 1 1/2 tablespoons butter  , 2 tablespoons paprika  , 1/2 teaspoon salt  , 2 cups chicken stock  , 1 teaspoon all-purpose flour  , 1 (8 ounce) container sour cream  ,  ","You can leave breasts whole or cut them up, whatever your preference. In a large skillet, heat oil over medium-high heat. Add chicken and pan-fry until cooked through and juices run clear, about 10 minutes. Remove chicken from skillet and set aside.
Using the same skillet, cook onion in butter until translucent but not brown, about 5 to 8 minutes. Season with paprika and salt. Pour chicken stock into the pan, and bring all to a boil. Reduce heat to simmer; mix flour with sour cream until smooth, then whisk into chicken stock. Place chicken in skillet; simmer until chicken is heated through and sauce has thickened.
",0.43410716685146067
96,Baked Lemon Chicken with Mushroom Sauce,chicken breast lemon butter mushroom allpurpose flour chicken broth,"1 tablespoon olive oil  , 6 skinless, boneless chicken breast halves  , 1 lemon  , 1/4 cup butter  , 3 cups fresh sliced mushrooms  , 2 tablespoons all-purpose flour  , 1/2 cup chicken broth, or more as needed  , 1 tablespoon chopped fresh parsley  ,  ","Preheat oven to 400 degrees F (205 degrees C).
Pour olive oil in an 8x8-inch glass baking dish. Place the chicken breasts in the dish, coating each side with oil. Squeeze the juice of 1/2 lemon over each chicken breast. Slice the rest of the lemon and place a lemon slice on top of each chicken piece.
Bake in the preheated oven until no longer pink in the center and the juices run clear, 30 to 40 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Melt butter in a skillet over medium heat; add mushrooms. Cook and stir until mushrooms are brown and liquid is evaporated, about 6 minutes. Sprinkle flour over mushrooms and stir until coated. Add chicken broth, stirring to make a medium-thick sauce. Allow sauce to reduce, adjusting with a little more broth to make a creamy sauce. Add fresh parsley at the last minute. Spoon the sauce over the baked chicken breasts.
",0.43440783092022583
97,Delicious Easy Chicken Francese,allpurpose flour egg chicken breast wine chicken broth butter lemon,"1/2 cup all-purpose flour  , 4 eggs, beaten  , 1 pound skinless, boneless chicken breast halves  , 1/2 cup white wine  , 2 cups chicken broth  , 1 teaspoon chopped fresh parsley  , salt and pepper to taste  , 1/4 cup butter  , 2 lemons, juiced  , 1 teaspoon cornstarch  ,  ","Coat chicken with flour, then egg beat, then saute in a large skillet until almost cooked through. Drain on paper toweling.
Preheat oven to 300 degrees F (150 degrees C).
In a medium saucepan combine the wine, broth, parsley, salt and pepper to taste, butter or margarine and lemon juice over medium low heat. Stir together while heating slowly. When butter or margarine has melted, slowly stir in cornstarch until sauce thickens slightly. Place chicken in a 9x13 inch baking dish and pour sauce over all.
Bake at 300 degrees F (150 degrees C) for about 10 to 15 minutes, or until chicken is cooked through and juices run clear.
",0.43453154399808036
98,Chicken and Dumplings II,chicken chicken poultry garlic onion celery carrot potato tomato chicken broth allpurpose flour buttermilk milk,"1 (4 pound) whole chicken  , 3 cups water  , 3 cubes chicken bouillon  , 1 pinch poultry seasoning  , 1 pinch dried thyme  , 1 dash garlic powder  , 1 pinch dried sage  , 1/8 teaspoon salt  , 1/8 teaspoon ground black pepper  , 1 onion, chopped  , 1 1/2 cups chopped celery  , 1 cup chopped carrots  , 2 potatoes, cubed  , 1/4 cup chopped green bell pepper  , 1/4 cup chopped tomatoes  , 1 (10.75 ounce) can condensed chicken broth  , 2 tablespoons all-purpose flour  , salt and pepper to taste  , 2 cups buttermilk baking mix  , 1/8 teaspoon chopped fresh parsley  , 1/4 teaspoon ground black pepper  , 1 cup milk  ,  ","In a large pot over medium high heat, combine the chicken, water, bouillon, poultry seasoning, thyme, garlic powder, sage and salt and pepper. Bring to a boil, reduce heat to low and allow to simmer. Add the onion, celery, carrots, potatoes, green bell pepper and tomatoes, cover pot and allow to simmer for one hour, or until vegetables are tender and chicken is done.
In a separate small bowl, combine the flour, buttermilk baking mix, parsley, ground black pepper and milk. Mix together well and form into little balls. Drop these balls into the simmering soup. Simmer for 5 more minutes.
Remove chicken, debone, take off skin, chop the chicken meat and return to pot. Heat through and serve.
",0.4347666046101215
99,30 Minute Almond Chicken by Minute(r) Rice,chicken thigh chicken broth bean rice,"8 boneless, skinless chicken thighs  , 1/4 cup Italian dressing  , 1 1/2 cups chicken broth  , 2 cups green beans, trimmed, halved  , 1 cup Minute(r) White Rice, uncooked  , 1/4 cup almonds, sliced  ,  ","Toss chicken with dressing in sealable plastic bag. Add chicken with dressing to large nonstick skillet on medium-high heat; cook 4 minutes on each side or until browned.
Stir in broth; bring to boil. Cover and simmer 10 minutes. Add beans; cook 5 minutes or until chicken is cooked through (170 degrees F).
Remove chicken from skillet. Add rice and almonds. Remove from heat; cover. Let stand 5 minutes. Serve chicken over rice mixture.
",0.4348049832276032
